Source_A,Source_B
PPARA,GADD45A
DMWD,PPBP
PCNA,GADD45A
KLHL20,LUC7L2
RXRA,GADD45A
NDUFA4L2,UBR1
NDUFA4L2,C6orf62
MRPL4,DDX24
HIST2H2BE,GADD45A
NUDT3,RAB17
PIGT,UPF3A
SGSM2,RGMA
SGSM2,ILF2
SGSM2,KHDRBS3
SPCS2,STMN3
POLR2C,UBE2W
RGS1,MAP3K12
RGS1,TSC22D1
TRIM27,FXYD6
TRIM27,KCTD15
TRDMT1,STX1A
TRDMT1,DDX24
TCEA2,CENPT
TCEA2,DCAF10
TCEA2,AKT1S1
TCEA2,WDR47
DLEU1,ARL8B
EXOC7,AKTIP
FOS,DDIT3
JUN,DDIT3
NIPSNAP3A,GOLM1
PPP1R16A,FAM101B
JUND,DDIT3
CKAP4,ASCC2
DLGAP4,PPP1R1B
CEBPB,DDIT3
KIDINS220,CDC73
LUC7L2,PTCD3
MAPK14,DDIT3
LUC7L2,NDUFA4L2
LUC7L2,MAP1LC3B
LUC7L2,ZCCHC10
LUC7L2,LUC7L2
LUC7L2,NAP1L5
PICALM,DDIT3
ATF3,DDIT3
SRPRB,CDK5RAP3
SIRT1,RELA
EIF2AK1,EIF2S1
PRKCI,ANXA1
GSK3B,CEBPA
CSNK2A1,HES6
PRKCD,YWHAZ
MMP11,SERPINA1
CSNK2A1,C1R
PLK1,NINL
P4HB,EIF2S1
CSNK2A1,FKBP4
MAPK14,PLA2G4A
MS4A1,LCK
MS4A1,LYN
CTNNB1,CDK6
PPP2CA,RHOB
PPP2CA,RRAS
COIL,CEP76
PSMD10,MDM2
PSMD10,RB1
CAND2,UBE3C
CAND2,CNOT3
COIL,CEP70
KSR1,RAF1
KSR1,MAP2K1
TAF4B,RELA
ZWILCH,KNTC1
CALCOCO1,EP300
CALCOCO1,IPP
FANCI,FANCD2
ITPRIP,ITPR1
IFT80,PLXNA2
PIGX,PIGM
SHE,ABL1
SIKE1,TBK1
SIKE1,SIKE1
ERP27,PDIA3
CRIPAK,PAK1
COIL,MAD1L1
HSPB6,HSPB8
SAP30L,FEZ1
ERCC4,ERCC1
FAM175A,BRCA1
WIPI1,AR
WIPI1,ESR1
CHD9,PPARA
CHD9,NR3C1
CHD9,RXRA
CHD9,ESR1
APPBP2,AR
FKBP2,C1QC
CNTN4,CNTN4
TNFRSF12A,TRAF5
PRC1,RACGAP1
SLC9A3R1,SLC22A4
TP53,TOP1
SLC9A3R1,SLC22A5
SLC9A3R2,SLC22A4
SLC9A3R2,SLC22A5
S100A9,S100A8
ANK3,FAS
BEX2,LMO2
PGR,JDP2
BHLHE40,BHLHE41
GEM,YWHAB
PGR,BATF3
CASP6,TOP1
PGR,SORBS1
PPARG,FOXO1
PRKCI,RAB2A
CD44,GARS
SUMO1,TOP1
ELF4,PML
RAPGEF3,MAP1A
PACSIN2,WASL
BCL2L11,MEX3D
TDP1,TOP1
GATA6,HHEX
GATA2,HHEX
KCNK3,YWHAE
KCNK3,YWHAH
KCNK3,SFN
SFPQ,TOP1
GATA3,ZFPM2
UBE2I,TOP1
RAPGEF2,RAP1A
RAPGEF2,RAP2B
SMAD1,COL4A1
FRMD4B,CYTH3
TOPORS,TOP1
NECAB3,APP
PALLD,ACTN1
RAPGEF2,CTNNB1
RAPGEF2,MAGI2
NR3C2,PIAS3
MERTK,VAV1
HMBS,RANBP9
BTBD2,TOP1
STAT4,STAT4
EP300,RAN
COIL,LNX1
CTNNB1,RXRA
NR3C1,NR2F2
S100P,S100A4
S100P,S100A2
DLL1,MAGI2
TEAD1,MEF2C
JUN,TOP2A
ARID3A,E2F2
ARID3A,UBE2E3
PRKCA,TOP2A
JAG1,THBS1
TPR,IFI16
DDC,AR
TRPC1,CAV1
PRKCB,TOP2A
CFL1,CLCN5
ARID3A,PML
ZEB2,CTBP1
PSMD11,NFKB2
JAZF1,NR2C2
SIAH1,RBBP8
RB1,TOP2A
FLNA,PRKCA
TP53,TOP2A
CHN1,CDK5
WAS,C5AR1
GNAO1,RGS1
FHOD1,PRKG1
HDAC1,TOP2A
HTRA1,LRP10
HTRA1,COL1A1
HTRA1,CAST
HTRA1,GOLGA2
HTRA1,PARD6B
HTRA1,CDYL
DFFB,TOP2A
HTRA1,COL3A1
ABL1,DDB2
SCRIB,ARHGEF7
SUMO1,TOP2A
RORC,CHD4
MINK1,YWHAB
MINK1,YWHAZ
XPO1,TOP2A
MINK1,ACTA2
MINK1,MAP1B
MINK1,ABI1
DHX9,TOP2A
MINK1,KIFAP3
MINK1,PKP4
MINK1,CALM3
YBX1,SLC6A4
HSPG2,ECM1
YWHAE,TOP2A
ZNF346,ILF3
NR0B2,EID1
PAK1,FLNA
ITGB3BP,MTA1
ITGB3BP,ESR1
GPRASP1,ADRB2
GPRASP1,ADRB1
ABHD5,PLIN2
GPRASP1,AGTR1
HHEX,PSMA3
GPRASP1,F2R
GPRASP1,F2RL1
GPRASP1,CXCR2
GPRASP1,VIPR1
PPP2CB,MID1
JKAMP,MAPK8
RELA,DHX9
WIZ,EHMT2
PRPF40A,WBP4
SOCS7,SORBS3
PRPF40A,ENAH
IRF5,IRF5
MID1IP1,MID1
REPS2,RELA
REPS2,CDK5RAP2
PRPF40A,AKAP8L
PRPF40A,ZHX1
PRPF40A,FMN1
NME1,KSR1
CHEK2,PPP2R5E
CHEK2,PPP2R5C
RALGAPB,RALGAPA2
BACE1,LRP1
CLDN11,TSPAN3
PGR,PGR
CDC42,FNBP1
CDC42,CDC42SE1
CARM1,FLII
FLII,ESR1
FLII,ACTL6A
TPM1,PKD2
NCOA3,RARB
NCOA3,RARG
NCOA1,RARG
ZFAND5,RAD23B
PBRM1,PBRM1
ARID2,SMARCA4
ARID2,SMARCE1
YWHAZ,WEE1
BRCA1,TRRAP
YWHAZ,CDK17
PA2G4,SIN3A
CDKN1C,CCNE2
SMARCA5,MAF
SMARCA5,CREB1
CREB1,SMARCA4
CDC42BPA,CDC42BPA
EGFR,CAV2
EGFR,HOXC10
EGFR,LYN
EGFR,S100A9
SGSM3,GJA1
FAT1,HOMER3
EGFR,SFN
EGFR,ATP1B1
SPAG9,KLC1
EGFR,ICAM1
EGFR,TUBA4A
EGFR,ALCAM
FAT1,HOMER1
LRP6,ANTXR1
LRP6,ANTXR2
TCF4,EP300
CHEK2,KPNA2
DMD,KRT19
DMD,KRT8
PRPF4B,KLF13
F2RL1,CBL
TOP2A,SRPK1
DHX9,SRPK1
DHX9,SSRP1
DHX9,HNRNPC
SGK1,CREB1
CD4,TFRC
PRKD3,VAMP2
LPAR1,ARHGEF11
LPAR1,ARHGEF12
NOTCH1,XIAP
NLRP1,CASP1
NLRP1,BCL2
NLRP1,BCL2L1
NLRP1,PYCARD
ITGB2,RDX
CSNK2A1,SPTBN1
TTN,FLNA
AR,JMJD1C
CLIP1,MAPRE2
MAGI3,ADRB1
IQGAP1,AIMP1
CDK14,YWHAE
CDK14,YWHAB
EGFR,CAV1
MUC1,ABL1
YWHAZ,SIK3
YWHAZ,SIK1
NFKB2,HDAC4
MDM2,USP2
MDM2,UBQLN4
YWHAZ,YWHAE
TFDP2,YWHAE
FLOT1,FLOT2
MECP2,SMARCA2
MECP2,SMARCB1
MAP3K2,SH2D2A
ZNF365,NDE1
RAD51,RAD51C
HIP1R,HIP1R
ABL1,YWHAZ
ABL1,YWHAE
ABL1,YWHAH
ABL1,YWHAB
ABL1,SFN
HIP1,AP2B1
SNCA,SLC6A3
MAPK8,YWHAZ
SORBS1,PXN
SMAD1,AR
IL1RL1,IL33
TGFB1I1,SLC6A3
MDM4,CSNK1A1
CYTIP,CYTH2
CYTIP,CYTH3
ESR1,TUBB
ESR1,HSPA4
MDM4,YWHAB
MDM4,YWHAZ
MDM4,YWHAE
TP53,PLK1
MDM4,YWHAH
COIL,KALRN
CDC42BPA,MYL9
PSMB9,NCOA1
PSMB9,NCOA2
PSMB9,NCOA3
CHORDC1,HSP90AB1
GNE,ZBTB16
GNE,RIF1
HIPK2,MDM2
MAVS,DDX58
FLNA,ARHGAP24
RARG,SMAD3
MED1,MDM2
PPP2CA,NXN
ROCK1,ARHGAP24
COIL,FHL5
CASP8,MAPK1
CASP8,TOPORS
PGR,ESR1
AR,CTDSP2
HOMER2,DBN1
RB1,CDK14
CDK14,CCND3
CDK14,CDKN1A
REL,NOTCH1
MPRIP,MPRIP
CASP8,AR
TEAD1,TEAD1
SORBS3,ABL1
DNMBP,DBN1
EPAS1,MAX
DAG1,DAG1
NMT1,TP53
UTRN,DAG1
NMT2,TP53
NMT2,BCL2
PAIP2,UBR5
PAK2,LCK
PAK2,HCK
PAK2,LYN
PAK2,YES1
PAK2,FYN
PAK2,SNX9
PAK2,SH3PXD2A
LAMA2,DAG1
PAK2,ARHGEF6
PAK2,SORBS2
PAK2,SORBS3
PAK2,SORBS1
PAK2,SH3RF3
PAK2,SH3RF1
MIB1,SNX5
WAS,ARHGEF7
ADAM15,LYN
ADAM15,YES1
DMD,DAG1
ADAM15,SH3PXD2A
ADAM15,ARHGEF7
ADAM15,ARHGEF6
ADAM15,NCK1
ADAM15,SORBS2
ADAM15,SORBS3
ADAM15,SORBS1
SHC1,DAG1
ADAM15,SH3RF3
ADAM15,SH3RF1
TRIP10,LYN
TRIP10,CDC42
FOXO1,THRB
PIK3CG,GAB1
PSEN1,CDH1
GLIS2,CTNNB1
LAMA5,DAG1
CASK,EPS8
CD74,HLA-DPA1
CD74,HLA-DQA1
CD74,HLA-DRA
CD74,HLA-DPB1
CD74,HLA-DQB1
ATXN7,TRRAP
ATXN7,KAT2A
NPM1,TFAP2A
NPM1,TP53
RARB,RXRA
MAFB,MAFB
COPS8,NFKBIA
MAPK14,NUP153
SOCS7,EGFR
CMTM8,EGFR
WWP1,DAG1
CDC73,CTNNB1
CDC73,TCF4
AR,IFI16
WWP2,DAG1
PRKRA,DICER1
MAGI1,DAG1
EGFR,SOCS5
BLM,FEN1
EIF2AK2,JAK1
AGR3,DAG1
EIF2AK2,ELF2
EGFR,PIK3C2A
ERBB2,PIK3C2A
UTRN,UTRN
ERBB2,PIK3C2B
PDGFRB,PIK3C2B
ZEB2,CTBP2
AURKA,TACC3
DMD,UTRN
SMAD3,HSPA4
SNTB1,UTRN
BTK,PLCG2
MPRIP,RHOA
EGFR,SH3BGRL3
SNTB2,UTRN
TTR,AGER
ERBB2,SH3BGRL3
IFNAR2,USP18
ERBB2,PTPN11
PGM5,UTRN
TGFB2,APP
RSF1,SMARCA5
ERBB3,PIK3R2
SIAH2,RBBP8
TIMP2,ITGB1
MALT1,SQSTM1
ERBB3,FLNA
SNX9,DNM1
PDHX,DLD
TCF4,XRCC5
OCRL,RAB1A
OCRL,RAB5A
OCRL,RAB14
CYTH2,ATP6V0A2
ESPN,BAIAP2
GEMIN6,SNRPE
YWHAH,SNCA
CDC42,LCK
LSM2,SNRPE
SFN,HNRNPD
CHEK2,MDM2
SORBS2,PAK1
CDK2,EP300
GTF2B,EP300
HIF3A,EGLN1
HIF3A,EGLN3
EPAS1,EGLN1
LSM4,SNRPE
EPAS1,EGLN3
TMED10,APH1A
TMED10,PSENEN
APP,CRYAB
FCGR2B,INPP5D
RAP1B,SMURF2
LSM5,SNRPE
PRKD1,EPAS1
TP53,HDAC1
DOK2,ABL1
SMN2,SNRPE
SHC1,VAV1
SHC1,PAK1
SHC1,MAPK14
SHC1,MAPK8
TERF1,FBXO4
PRMT6,HMGA1
NCOA3,RELA
PRMT2,RB1
MDM4,SFN
NR3C2,AR
CHN2,RAC1
RELA,EGR1
SAV1,STK4
SAV1,SAV1
JUN,EGR1
DERL1,CFTR
CTNNA1,CDH1
PHLDA1,HSPA4
PIM1,EPHA3
PSMA3,EGR1
EPHA3,STAT3
CEBPB,EGR1
EVL,WAS
EVL,ABI1
EVL,WASL
WAS,ENAH
WASL,WIPF2
WASL,VASP
TP53,EGR1
VASP,ABI1
PLXND1,SEMA4A
VEGFA,EPHB2
LYZ,A2M
NFATC2,EGR1
HNRNPD,HNRNPD
HNRNPD,YBX1
HNRNPD,IGF2BP2
HNRNPD,UBE2I
NAB1,EGR1
TP53,CHEK2
HIP1,APAF1
CTTN,HIP1R
NAB2,EGR1
EP300,EGR1
VEGFA,YBX1
SLCO3A1,SLC9A3R1
COIL,PREPL
SLCO3A1,SLC9A3R2
YBX1,MAPK1
YBX1,GSK3B
LYN,DOK2
HCK,DOK2
FLRT3,FGFR1
NAP1L1,TP53
STRA13,TP53
CTSB,SPINT2
CTSB,ADAMTSL4
COIL,TGS1
VSIG4,C3
GABBR1,NSF
CNOT1,RXRA
RELA,RELA
SERPINE1,KRT18
TP53,NFYA
TP53,NFYB
NFYA,NFYA
EEF1A1,ZBTB16
MYC,SKP2
COIL,SART3
EIF3B,EIF4G1
SKP1,FBXO8
SKP1,FBXO15
NT5E,FN1
SKP1,FBXO5
SKP1,FBXO6
SKP1,FBXO3
SET,RAC1
CNOT1,CNOT3
CNOT1,THRB
CNOT1,PPARG
PRKCE,BRAF
CSNK1E,OCLN
CSNK1A1,OCLN
GSK3B,BICD1
GSK3B,BICD2
SPINT1,FAM46A
GSK3B,DYNC1I1
BICD1,DYNC1I1
NIN,BICD1
PAK2,LIMK1
PAK2,RAF1
SCRIB,TJP2
GATA2,RXRA
PTPN22,VAV1
PTPN22,CD3E
PTPN22,LCK
PTPN22,ZAP70
PTPN22,CD247
RASGRF1,NTRK2
FZD7,UBQLN4
NR3C1,LCK
NR3C1,FYN
RGS12,MAP2K2
ZNF346,XPO5
KIF5B,RRBP1
HSP90AA1,LCK
HSP90AA1,FYN
ARFGEF2,GABRB2
PGGT1B,KRAS
SPHK1,FYN
PGGT1B,RRAS2
PGGT1B,GNG2
PGGT1B,CDC42
ITGA2,ITGA2
SPHK1,LYN
GATAD2B,KAT2B
TAF1D,UBTF
TP53,NR4A1
MBD1,PIAS1
MBD1,PIAS2
SH2D1A,ARHGEF7
SH2D1A,ARHGEF6
DHX30,NCOR1
DHX30,SIN3A
DHX30,HDAC1
DHX30,RBBP4
ARHGEF7,CD244
UBE4B,DNAJC7
DNAJC7,HSP90AA1
CRNKL1,HSP90AA1
HIC1,SIRT1
NDRG1,HSP90AA1
NDRG1,HSPA5
NDRG1,CANX
NDRG1,PSMC2
NDRG1,XRCC5
NDRG1,ILF3
NDRG1,SEC23A
NDRG1,AP2M1
NDRG1,AP1M2
NDRG1,MME
NDRG1,CTNNB1
NDRG1,KIF5B
NDRG1,PPP2R2A
NDRG1,TLE3
NDRG1,ACSL3
NDRG1,FASN
NDRG1,MAOA
NDRG1,RPN2
NDRG1,SHMT2
NDRG1,EIF2S3
NDRG1,HNRNPF
NDRG1,HNRNPU
NDRG1,HNRNPH1
NDRG1,DDX5
NDRG1,UPF1
NDRG1,EWSR1
NDRG1,CDH1
CHEK2,PPP2R2A
SUMO1,TP53
ENAH,ABI2
FBN1,ELN
ENAH,ABL1
WASF2,ABI2
WASF2,ABL1
CUL4B,AR
CUL4B,ESR1
FBLN1,ELN
AHR,CUL4B
AHR,AR
CBL,ASAP1
ZMYM2,HNRNPA2B1
ZMYM2,FUS
ZMYM2,SFPQ
FBLN2,ELN
ZMYM2,UBTF
SFPQ,FUS
SFN,EIF2S1
SFN,EIF4B
SFN,EEF1A1
ARF6,CAPN1
ARF6,MPP5
LYZ,ELN
ARF6,EZR
ARF6,ZNF709
GNAO1,RGS10
LOX,ELN
EP300,ABL1
SUV39H2,SMAD5
CFLAR,MAP2K4
PDCD6IP,YES1
PDCD6IP,SH3KBP1
PDCD6IP,EGFR
KSR1,EPHB2
PPARGC1A,SIRT1
MFAP2,ELN
HIPK2,KAT2B
KSR1,YWHAZ
KSR1,MAPK1
MITF,CTNNB1
CNBP,PCBP2
SPINK1,ELN
CAND1,CNOT3
MESDC1,LRP6
BGN,ELN
KLC1,KIF2A
FCN1,ELN
DNM2,ITSN1
ASS1,ELN
TCF4,CTNNB1
NID2,ELN
TPST1,CCR1
FKBP10,ELN
PPP1CB,RB1
TPST1,CMKLR1
TPST1,CCR2
TPST1,SELPLG
NCOA3,PSME3
DLG1,BCR
PPP2R1B,STRN
PPP2R1B,STRN3
PPP2R1B,PPP2CA
PPP2R1B,MCM3
PPP2R1B,CDK1
PPP2R1B,PRDX2
PPP2R1B,RAB11A
PPP2R1B,RAB18
PPP2R1B,HSPD1
PPP2R1B,PPP2R5E
PPP2R1B,CDK4
PPP2R1B,FGFR1OP
PPP2R1B,HDAC1
PPP2R1B,BSG
CARM1,RABGAP1
EEF1A1,RGS12
PCBP2,FLNA
PCSK9,LDLR
HNRNPA1,NFKBIA
DAG1,BGN
ANAPC2,CDC20
ANAPC2,CDC27
ANAPC7,CDC27
ANAPC7,ANAPC2
MAD2L1,ANAPC2
ANAPC10,CDC16
ANAPC10,CDC20
ANAPC7,CDC20
ANAPC10,ANAPC7
ANAPC7,CDC16
JAK3,VIL1
ABL1,YAP1
PIK3CG,TPM2
PARD3,TIAM2
ITGA4,PRKAR1A
PLK1,PRC1
PPM1A,SMAD2
PPM1A,SMAD3
RB1,CDC27
PIAS1,PTPN1
EXOC7,ARPC1A
RALA,PPP2R1B
GSK3B,CDK5
SQSTM1,NBR1
SRPX2,PLAUR
SRPX2,CTSB
NBR1,NBR1
RUNX2,UBTF
JUN,TCF4
SATB1,GATA3
GSK3B,DPYSL2
CD247,CD48
CD247,CD244
USP28,MDC1
SMURF1,MAP3K2
SMYD2,TP53
CDK5,WASF1
OSTM1,CLCN7
H3F3A,BPTF
H3F3A,CHD1
H3F3A,SMARCA1
RELA,SOCS1
PRKCD,EEF1A1
BCL6,PRKD3
ELK1,UBE2I
IER3,PPP2R5C
SSRP1,MCM4
MCM4,SUPT16H
MCM4,MCM2
SUPT16H,MCM3
CSRP2,EEF1A1
FLNA,CCNB1
TP53,FBXO11
POLI,PCNA
BIRC5,XPO1
SPTAN1,SPTBN1
PTEN,SLC9A3R1
PTEN,SLC9A3R2
DNM2,AP2A1
DNMT3B,EZH2
DNMT3B,EED
DNMT3A,EZH2
DNMT3A,EED
PSMD4,UBQLN1
UBQLN1,ATXN3
XPO1,ATF2
MED28,FYN
LCK,MED28
CD209,CEACAM1
CD209,ITGAM
RPS6KB1,EIF4B
SCRIB,TRIP6
SCRIB,LPP
CCND2,PCGF2
RNF144B,UBE2L3
WASF1,CRK
WASF1,ACTR2
GADD45G,EEF1A1
PTPN1,ACTN1
ATM,CREB1
SMARCA2,PRPF6
SMARCA2,KHDRBS1
ARF1,ASAP1
KCNMA1,MAP1A
MTA1,SH3GLB1
OS9,EGLN1
XPO5,EEF1A1
OS9,EGLN3
LRCH4,SIN3A
BLM,TERF1
GNAI1,WASF1
MCL1,BIK
BCL2A1,BCL2L11
RUNX2,SMAD6
FNBP1,WASL
XRN2,EEF1A1
BMP2,GREM1
EFNB2,PSEN1
SYK,POU2AF1
HSP90AA1,MMP2
EGFR,SLC9A3R1
PLXDC1,NID1
PML,CSNK2A1
HSPA4,OLR1
ABL1,CREB1
CXorf40A,MT2A
PRKCA,RALBP1
MAP3K6,MAP3K6
PANX1,P2RX7
PPP1CB,PRKAR2A
CD48,FYN
GADD45A,MAPK14
PRKCA,EEF1D
MUC1,LYN
IRAK1,JUN
IRAK1,MAPK14
IRAK1,MBP
GARS,EEF1D
CDH1,VCL
SOX9,CREB1
PLAUR,ITGB1
RORC,EIF4EBP1
RBBP8,RBBP8
BCL2,PXN
KTN1,EEF1D
AR,TCF4
CDKN1A,MAP3K5
MDM2,CTBP2
ANAPC7,CDH1
CTBP1,EEF1D
APC,TUBA4A
PIK3CA,RPS6KB1
PDK1,RPS6KB1
CTBP2,EEF1D
RAF1,VDAC1
AR,GSK3B
MAPK8,RPS6KB1
MAPK9,RPS6KB1
YWHAH,EPB41L2
MED1,BRCA1
VARS,EEF1D
MCL1,BCL2L1
SMARCA2,BRCA1
MUC1,APC
GADD45B,MAP3K5
CALM1,AR
SPTAN1,ERCC4
UBE2I,UBE2I
RHEB,BRAF
BCL2,PML
FANCD2,NBN
MRE11A,FANCD2
LEF1,RUNX2
BCL2,MYC
BUB3,HDAC1
HDAC1,BUB1B
HDAC1,CDC20
HDAC1,CDH1
HDAC1,MAD1L1
CDK1,FANCG
CBL,LAT
TP53,EPHA3
TP53,BTK
MAPK1,LRPAP1
CRK,BCR
ITGB1,HSPD1
HSPD1,ITGA3
SUMO1,HDAC4
TRAK2,KCNJ2
SPG20,TUBA1A
PTK2,NEO1
DBF4,CHEK2
CBL,PDGFRA
ESR1,CTNNB1
NUP153,KPNA2
BLM,FANCD2
ANP32A,XPO1
RPS6KB1,XPO1
CTNNB1,SMAD7
CTNNB1,BCL9L
STAT3,STAT4
TNIK,TNIK
TNIK,TNIK
NEK9,NEK9
CDK12,CDK12
CAMK2D,CAMK2D
CDK17,CDK17
STK10,STK10
MAP4K1,MAP4K1
RPS6KA2,RPS6KA2
LIMK1,LIMK1
MAP2K2,MAP2K2
MAP2K2,MAP2K2
MAP2K2,MAP2K2
MAP2K2,MAP2K2
EPHB2,EPHB2
PTK2,PTK2
CDK16,CDK16
RPS6KA3,RPS6KA3
WEE1,WEE1
ABL1,ABL1
ITK,ITK
EPHA2,EPHA2
FER,FER
MET,MET
BRAF,BRAF
CDK2,CDK2
CDK1,CDK1
ADRB1,DLG1
ADRB1,GOPC
CTNNB1,PLK1
MMP2,EPHB2
MMP9,EPHB2
EGR1,CDKN2A
HES1,FANCG
HES1,FANCF
EMILIN2,EMILIN1
HES1,FANCL
HSP90AA1,MS4A2
HSP90AA1,PRKCA
HSP90AA1,PRKCD
MS4A2,PRKCD
ANPEP,ANPEP
MIF,NME1
MIF,TP53
UCHL1,HSP90AA1
UCHL1,LAMP2
VAMP7,AGFG1
SQSTM1,GRIA1
RAC1,PRKCD
KLF4,ELK1
PTX3,CFH
AURKA,GSK3B
RBBP8,PCNA
LPXN,PTK2
RAB11A,MYO5A
SPTLC1,ABCA1
CD96,PVR
HTATIP2,ETS1
KANK1,BAIAP2
UBN1,TJP1
PPID,APP
ENTPD5,PRKCA
REV1,POLK
ATF7,FOS
MED14,ACTN1
MED14,UACA
EGFR,TUBA1A
ESR1,MTCH2
ESR1,ARHGEF15
ESR1,POLR2D
EEF1D,FOS
NCOA3,NR1H2
NCOA3,NR1H3
NCOA3,PPARG
NR2C2,RXRB
NCOR1,NR1H2
NRIP1,NR1H2
NR1D2,RGN
NR1D2,UBE2I
NR1H2,FOXO3
NR1H2,ING3
NR1H2,NCOA3
NR1H2,NCOR1
NR1H2,UBE2I
NR1H3,ACTN1
NR1H3,FOXO3
NR1H3,ING3
NR1H3,NCOA3
NR1H3,NCOR1
NR1H3,RXRB
NR2F1,EEF1D
NR5A2,NRIP1
INHBA,ENG
NR5A2,PNRC1
NR5A2,PNRC2
NR5A2,POLR2D
OPTN,FOS
KAT2B,ACTN1
TGFB1,ENG
PPARG,RANBP9
TGFBR1,ENG
RORA,PNRC1
RORA,PNRC2
TGFBR2,ENG
RARB,PNRC1
RARG,NR0B2
TGFB2,ENG
RARG,PNRC1
RARG,PNRC2
RARG,RXRB
RXRB,MAP4
RXRB,NR1H3
RXRB,PPARG
TGFB3,ENG
THRB,NCOA3
THRB,NRIP1
THRB,RXRB
MED1,NR1H2
VDR,GABARAPL1
VDR,GABARAPL2
VDR,NRIP1
VDR,NR1H2
VDR,NR0B2
VDR,RXRB
ZXDC,NR1H2
ZXDC,RORA
MDK,TSPAN1
PTPN11,SELE
PAM,FXYD1
VCL,SELE
HOOK1,HOOK3
HOOK1,HOOK2
HOOK1,AKTIP
HOOK1,VPS41
HOOK1,HOOK1
FLNA,SELE
HOOK2,HOOK2
HOOK2,VPS41
HOOK3,AKTIP
HOOK3,HOOK3
HOOK3,VPS41
SELPLG,SELE
AKTIP,VPS41
ESR1,CDKN1A
RAB25,ITGB1
GLG1,SELE
ABCA1,TRIM27
ABCA1,UGP2
ABCA1,SDHB
ABCA1,AOX1
PTK2,SELE
PXN,SELE
SERPING1,SELE
GNG2,GNB4
SELL,SELE
FGFR3,FGF1
KLHL12,CUL3
RIT1,CUL3
RIT1,KLHL12
SAP18,SIN3A
HERC6,HERC4
FGFR4,FGF1
MYB,FBXW2
FGFR1,FGF1
MYB,SKP2
FBXW7,HIPK2
NLK,SKP2
HUS1,RPA1
FGFR2,FGF1
MYB,FBXW7
RAD1,RPA1
USP10,SCNN1A
USP10,SCNN1G
USP10,SNX3
SNX3,SCNN1A
ZMYND11,EZH2
DDB2,CUL4B
ZMYND11,SMARCA4
ZMYND11,HDAC1
ZMYND11,EZH1
HSPA9,FGF1
IGF1R,CBL
IGF1R,CAV1
IGF1R,EEA1
RBBP6,YBX1
RBBP6,ZBTB38
RBBP6,LRCH4
RBBP6,UPF3B
RBBP6,ETS1
FGFBP1,FGF1
TP53,SMARCD1
SMURF2,SMURF2
BRD4,CCNT1
PSME3,TP53
BRD4,CCNT2
DHFR,MDM2
DHFR,TP53
TGIF1,PML
TGIF1,WWP1
BIRC6,EXOC3
BIRC6,EXOC4
TGM2,RELA
NFKBIA,NFKBIA
BIRC6,BIRC5
BIRC6,CDK1
BIRC6,MAP2K1
BIRC6,PLK1
RHOA,ARHGAP5
SPI1,DNMT3B
SPI1,DNMT3A
PSME3,MDM2
PPARGC1A,FBXW7
UPF1,DCP1A
PPARGC1A,GSK3B
KLK4,SERPINA3
UPF1,EIF3B
CCAR1,MDM2
ARFGAP1,KDELR1
RWDD3,NFKBIA
SLC9A3R2,LPAR1
MAP3K7,TGFBR1
IRAK2,PELI1
IRAK2,PELI2
GNA11,EDNRA
CCDC50,TNFAIP3
PPP1R9B,RGS2
GNAI2,EDNRA
CD2AP,PDCD6IP
NECAP1,HIP1
EDN1,EDNRA
ADRB2,NEDD4
DUSP1,SKP2
ETS1,GATA3
DUSP1,CKS1B
ETS1,MEIS1
SPI1,HOXA10
ETS2,GATA3
GAB2,ETV6
CYLD,DDX58
LMO2,GATA3
BRCA1,H2AFY
CBL,FNBP1
RELB,RELB
TAL1,GATA3
SIN3A,NFKB2
SIN3A,RELA
SIN3A,RELB
SIN3A,REL
NFKB2,NFKB2
MED1,GATA3
TAL1,SKP2
PAWR,HSPA5
ARRB2,ADRB2
ARRB2,AP2M1
CCNY,CDK14
FGA,NID1
ESR1,RLIM
HNRNPUL1,TP53
ZNF652,CBFA2T2
ZNF652,CBFA2T3
ZNF652,RUNX1T1
SMURF2,PRICKLE1
SMURF2,PRICKLE2
FBLN1,NID1
PPM1D,MDM2
PPM1D,TP53
DZIP3,NCOR1
FBLN2,NID1
SIRT1,NR1H3
SIRT1,NR1H2
APP,HOMER2
APP,HOMER3
SMURF1,ARHGEF9
CASP1,FGF2
PRKCD,PTPN22
HSPG2,NID1
MAP3K14,BIRC3
TRAF3,TBK1
ING1,NQO1
WISP2,IGF1
LAMC1,NID1
PLAGL2,RCHY1
RCHY1,RCHY1
LAMC2,NID1
MAD1L1,MAD2L1
NR4A1,BCL2A1
VRK1,PLK3
RACGAP1,PPP2R5E
PPP2CA,RACGAP1
RACGAP1,ECT2
NEDD4L,NEDD4L
UBE2I,ARNTL
YWHAE,GTF2B
ATAD2,NCOA3
ATAD2,ESR1
SVIL,KRT18
SVIL,ITGB3BP
PLAU,NID1
SVIL,CENPF
SVIL,HSP90AA1
SVIL,LMNA
SVIL,LMNB2
SVIL,MPHOSPH9
SVIL,ATRX
SVIL,MKL2
ITGAV,NID1
SVIL,KIF22
SVIL,LIMA1
SVIL,TNFAIP1
SVIL,SH3PXD2A
SVIL,FLNA
LGALS3BP,NID1
SVIL,ODF2
SVIL,HMMR
SVIL,SH3PXD2A
SVIL,CTTN
SVIL,MYH10
SVIL,MYLK
SVIL,MYH10
SVIL,TRIP6
PRELP,NID1
SVIL,GOLGA2
